UNIQID,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,CompletionInfo_SN,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Gender_SN,SexOrient_DC,Straight_DC,Mono_Multi_DC,Race_DB_POC,Race_DB_Minoritized,Race_DB,Disability_macro_MH,Disability_select,Religion,Religion_belief_HH,Religion_Jewish_HH,Religion_organized_HH,Linguist_selfID_SN,Subfields,Theoretical,Theoretical_number_HH,Theoretical_genfun_HH,Methods,Methods_number_HH,Methods_qual_HH,Methods_expcorp_HH,Methods_fieldcomm_HH,Dept_affil,Dept_affil_text,Q21_29_TEXT,Lang_area_dept,Dept_langarea_HH,Home_dept_DC,Home_dept_gen_HH,Ling_Dept_DC,Lang_area_home_dept,Dept_location,Dep_loc_SN,International_grad,Degree_in_progress,Highest_degree_MH,Degree_time,Permanent_position,Current_position,Lab_research,Fieldwork_research,Lesser_studied_research,Group_membership_research,English_L1,Minority_lang,Bias_incidents,Bias_incidents_target,Behavior_correct,Behavior_heard,Biased_behavior,Biased_behavior_told,Bias_incidents_category,Bias_incidents_category_text,Bias_incidents_bystander,Bias_incidents_bystander_action,Bias_incident_outcome,Isolation_professional_identity,Isolation_personal_identity,Climate_avoid,Not_linguist,Climate_linguistics,Climate_subfield_main,Climate_subfield_second,Climate_linguistics_change,Climate_linguistics_change_time,Climate_subfield_main_change,Climate_subfield_main_change_time,Climate_subfield_second_change,Climate_subfield_second_change_time,Children,Dependents_degree,Parental_leave,Relationship,Continent_childhood,Continent_reside
25,1/3/18 14:52,1/4/18 21:51,IP Address,100,597,TRUE,ALL,3/2/18 1:48,R_2AWDGoeFIiNchPs,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Atheist,N,N,N,"Yes, in addition to other descriptors","Discourse analysis,Documentary and descriptive linguistics,	Language contact,Language variation,	Linguistic Anthropology,Phonetics,Sociocultural linguistics,Sociolinguistics ",Usage-based,1,O,"Community-engaged research,Ethnographic methods,Experimental methods, Field methods, Qualitative methods",5,Y,E,Y,"Linguistics,Anthropology",NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,Yes,"	M.A. / M.S. / M. Ed.",Within the past 5 years,No,Graduate student,I have in the past worked in a lab-based research group,I currently do fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,"	Yes",No,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,"Age	,		Gender,Gender identity/presentation,		Nonnative English speakers,Race",NA,NA,,,Not sure,"		No",NR,Yes,Good,Good,Good,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NA,No,No,NA,"	Single","North America, including the Caribbean ","North America, including the Caribbean "
26,1/3/18 14:57,1/3/18 15:27,IP Address,100,1681,TRUE,ALL,2/11/18 16:54,R_2SHQ5tMr14sZaTF,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Atheist,N,N,N,"Yes, solely","Cognitive science,	First language acquisition,Neurolinguistics,Semantics,Syntax",Generative,1,G,Experimental methods,1,N,E,N,Linguistics,NA,NA,NA,,NR,NR,NR,,"North America, including the Caribbean",North America,No,Yes,B.A. / B.S.,Within the past 5 years,No,Graduate student,I currently work in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,Yes,"	Yes",No,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,"Age	,		Gender,Particular subfields/other academics	,		Religion",NA,Yes,Not sure,No,Not sure,"		Yes (other)","		Starting a collaboration		,		Informal meetings",No,Fair,Good,Fair,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NA,No,No,"	No","	Single","North America, including the Caribbean ","North America, including the Caribbean "
27,1/3/18 15:04,1/3/18 15:07,IP Address,100,1402,TRUE,ALL,1/13/18 3:09,R_2E5EGptv54nNGMt,anonymous,EN,Female,Bisexual,N,Multisexual+Queer,POC,,Latinx,No,N/A,Atheist,N,N,N,"Yes, solely","Documentary and descriptive linguistics,Historical linguistics,	Linguistic Anthropology,	Morphology,	Morphosyntax,Syntax,Typology",Functional,1,F,"Community-engaged research, Field methods",2,N,O,Y,Anthropology,NA,NA,NA,,Anthropology,Anthropology,N,,"North America, including the Caribbean",North America,No,No,"	Ph.D","	5 - 10 years ago",Yes,Assistant professor (tenure-track),I have never worked in a lab-based research group,I currently do fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,"	Yes",No,Often,Often,Sometimes,Often,Rarely,Rarely,"		Ethnic groups,		Gender,Gender identity/presentation,Particular subfields/other academics	,Race",NA,Yes,No,No,"		Yes, I have been excluded (perhaps intentionally)","		Yes, I have been excluded (perhaps intentionally)","Social events in your department,Academic events in your department (colloquium talks, etc)",No,Fair,Good,NR,I don't know/can't say,5-10 years,gotten better,5-10 years,NR,NR,Yes,Yes,"	No",Domestic partner/Long-term relationship,"North America, including the Caribbean ","North America, including the Caribbean "
28,1/3/18 15:08,1/3/18 15:18,IP Address,100,704,TRUE,ALL,1/5/18 18:36,R_Ua1aqk5WHyz2F8J,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,POC,,Latinx,No,N/A,Atheist,N,N,N,"Yes, in addition to other descriptors",Syntax,Formal,1,O,"Community-engaged research, Corpus methods, Field methods",3,N,C,Y,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,Yes,Yes,"	M.A. / M.S. / M. Ed.",Within the past 5 years,No,Graduate student,I have never worked in a lab-based research group,I have in the past done fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,Yes,No,No,Rarely,Never,Often,Sometimes,Sometimes,Rarely,"		Ethnic groups,		Nationality	,		Nonnative English speakers,Race",NA,Yes,No,Yes,"		Yes (other)","		Yes (other)","		Joining a lab/research group,Social events in your department,Academic events in your department (colloquium talks, etc),	Other academic activities at a conference/workshop ,		Conference/workshop dinner,		Informal meetings",No,Fair,Fair,Fair,gotten better,5-10 years,I don't know/can't say,< 5 years,gotten better,5-10 years,No,Yes,"	No",Married,South or Central America,"North America, including the Caribbean "
29,1/3/18 15:08,1/3/18 15:21,IP Address,89,1340,FALSE,ALL,1/18/18 13:52,R_3Mm7wfmlahmXRIB,anonymous,EN,Male,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Atheist,N,N,N,"Yes, in addition to other descriptors","Cognitive science,Neurolinguistics,Psychology of Language,Syntax",Generative,1,G,Experimental methods,1,N,E,N,"Linguistics,Other (please specify)",NA,Radiology,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,No,"	Ph.D","	5 - 10 years ago",No,Postdoctoral scholar,I currently work in a lab-based research group,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,No,"	Yes",No,Often,Rarely,Sometimes,Rarely,Rarely,Rarely,Other (please specify),Political identity/geography,NA,,,"		Yes, I have been excluded (perhaps intentionally)","		Yes, I have been excluded (perhaps intentionally)","Joining a department,		Joining a lab/research group,Academic events in your department (colloquium talks, etc),		Informal meetings",No,Good,Good,Good,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NA,NR,NR,,NR,NR,NR
30,1/3/18 15:09,1/3/18 15:11,IP Address,100,1499,TRUE,ALL,1/17/18 20:15,R_3jEI9HRMQhgUi89,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,"Agnostic,Atheist",N,N,N,"Yes, solely",Phonology,"Formal,Generative",2,G,"Computational methods, Corpus methods,Experimental methods",3,N,B,N,Language/Area-specific department (click to receive more options in next question),NA,NA,English,English,Q,Language,N,English,"North America, including the Caribbean",North America,No,No,"	Ph.D","	5 - 10 years ago",No,Assistant professor (tenure-track),I have in the past worked in a lab-based research group,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,No,"	Yes",No,Sometimes,Sometimes,Rarely,Rarely,Rarely,Never,"		Gender,Particular subfields/other academics	",NA,No,,No,"		Yes, I have been excluded (perhaps intentionally)",Not sure,"		Informal meetings",Yes,Good,Good,NR,stayed the same,5-10 years,gotten worse,5-10 years,NR,NR,Yes,No,Yes,Married,"North America, including the Caribbean ","North America, including the Caribbean "
31,1/3/18 15:09,1/3/18 15:26,IP Address,100,743,FALSE,ALL,1/25/18 6:55,R_3q7igGqSI4ywEFt,anonymous,EN,Male,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,"Atheist,Christian",N,N,N,"Yes, in addition to other descriptors","	Language contact,Language variation,	Linguistic Anthropology,Sociolinguistics ","Functional,Usage-based",2,F,"Community-engaged research,Ethnographic methods, Field methods, Qualitative methods",4,Y,O,Y,Modern Languages,NA,NA,NA,,Modern Languages,Language,N,,Europe,Europe,No,No,"	Ph.D",Within the past 5 years,No,Postdoctoral scholar,I currently work in a lab-based research group,I currently do fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,"	Yes",Yes,Rarely,Never,Sometimes,Rarely,Rarely,Never,"		Gender",NA,No,,Yes,"		No","		No",NR,No,Good,Very good,Good,stayed the same,< 5 years,stayed the same,< 5 years,stayed the same,< 5 years,No,No,"	No","	Single","	Europe","	Europe"
32,1/3/18 15:11,1/3/18 15:25,IP Address,100,113454,TRUE,ALL,1/26/18 12:42,R_qWbzxzmBoZV8yf7,anonymous,EN,Male,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Agnostic,Y,N,N,"Yes, in addition to other descriptors","Cognitive science,Neurolinguistics,	Pragmatics,Psychology of Language,Semantics","Cognitive ,Usage-based",2,O,Experimental methods,1,N,E,N,"Linguistics, Computer Science, Psychology",NA,NA,NA,,Linguistics,Linguistics,Y,,Europe,Europe,No,No,"	Ph.D","	5 - 10 years ago",No,Postdoctoral scholar,I currently work in a lab-based research group,I have in the past done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,"	Yes",Yes,Rarely,Rarely,Rarely,Often,Rarely,Rarely,"Age	,		Ethnic groups,		Gender,		Nonnative English speakers",NA,NA,,,"		No","		No",NR,Yes,Fair,Fair,Fair,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NR,No,No,"	No",Married,"North America, including the Caribbean ","	Europe"
33,1/3/18 15:11,1/3/18 16:00,IP Address,3,32433,FALSE,NONE,1/24/18 0:52,R_2fDKDUD6263FnQz,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
34,1/3/18 15:14,1/3/18 15:31,IP Address,100,1330,TRUE,ALL,3/1/18 15:01,R_u9D4iZtUVCzAgLL,anonymous,EN,Male,Bisexual,N,Multisexual+Queer,White,,White,No,N/A,Atheist,N,N,N,"I used to, but not anymore","	Language contact,Language variation,	Linguistic Anthropology,	Pragmatics,Sociolinguistics ","Usage-based,You don't",2,O,"Ethnographic methods, Field methods, Qualitative methods, Site-based research",4,Y,O,Y,"Language/Area-specific department (click to receive more options in next question),Anthropology",NA,NA,Romance languages/studies,Romance,Anthropology,Anthropology,N,,"North America, including the Caribbean",North America,No,Yes,B.A. / B.S.,Within the past 5 years,No,"	Other university staff",I have never worked in a lab-based research group,I have in the past done fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,Yes,"	Yes",No,Sometimes,Rarely,Sometimes,Often,Rarely,Never,"		Ethnic groups,		Gender,Gender identity/presentation,		Nationality	,		Nonnative English speakers,		Other language groups,Race,Sexual orientation		,		Skin color",NA,NA,,,"		No","		No",NR,Yes,Bad,Fair,Fair,stayed the same,NA,stayed the same,NA,gotten better,5-10 years,Yes,Yes,NA,Domestic partner/Long-term relationship,"North America, including the Caribbean ","North America, including the Caribbean "
35,1/3/18 15:14,1/4/18 11:19,IP Address,100,1612,TRUE,ALL,1/19/18 17:57,R_2YhsVKNY4fvqgbt,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,"Atheist,Spiritual but not religious",N,N,N,"Yes, in addition to other descriptors","Cognitive science,Educational linguistics,	First language acquisition,Phonetics,Phonology,Psychology of Language,Second language acquisition,Syntax","Cognitive ,Usage-based",2,O,Experimental methods,1,N,E,N,"Linguistics,Language/Area-specific department (click to receive more options in next question), Cognitive Science,Education",NA,NA,Romance languages/studies,Romance,Education,Interdisciplinary,N,,Europe,Europe,Yes,Yes,"	M.A. / M.S. / M. Ed.",Within the past 5 years,Yes,"	Lecturer (permanent position)",I have in the past worked in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,No,No,No,Often,Rarely,Rarely,Rarely,Rarely,Rarely,"		(Dis)ability status,		Ethnic groups,		Gender,		Nationality	,Sexual orientation		",NA,NA,,,Not sure,Not sure,"		Joining a lab/research group,	Other academic activities at a conference/workshop ",No,Fair,Fair,Fair,gotten better,> 30 years,gotten better,20-30 years,gotten better,20-30 years,No,No,"	No",Domestic partner/Long-term relationship,"	Europe","	Europe"
36,1/3/18 15:16,1/3/18 15:16,IP Address,100,504,TRUE,ALL,1/5/18 19:02,R_XUmK1cP9a8GhtMR,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Catholic,Y,N,Y,"Yes, solely","Applied linguistics,Educational linguistics,Second language acquisition","Functional,Usage-based",2,F,"Field methods, Qualitative methods, Site-based research",3,Y,O,Y,Modern Languages,NA,NA,NA,,Q,NA,Q,,Europe,Europe,Yes,No,"	Ph.D",Within the past 5 years,No,You don't. My position is (please specify),I have never worked in a lab-based research group,I have in the past done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,No,No,No,Sometimes,Sometimes,Often,Sometimes,Rarely,Never,"		Gender,		Nonnative English speakers,		Skin color",NA,Yes,Yes,Yes,"Yes, I have been intentionally excluded ","		No",NR,No,Good,Good,Fair,NR,NR,NR,NR,NR,NR,Yes,Yes,Yes,Married,"	Europe","	Europe"
37,1/3/18 15:21,1/3/18 16:12,IP Address,4,29,FALSE,NONE,1/17/18 18:56,R_2SCUZanK4VaX8uu,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
38,1/3/18 15:24,1/3/18 15:25,IP Address,61,634,FALSE,Bias,3/13/18 3:50,R_eg6kYDwvAdeYpBD,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,POC,,Asian,No,N/A,Spiritual but not religious,Y,N,N,"Yes, solely","Cognitive science,Cognitive-functional linguistics,Documentary and descriptive linguistics,Educational linguistics,	First language acquisition,	Language contact,	Language evolution,	Linguistic Anthropology,	Pragmatics,Second language acquisition,Semantics,Signed language linguistics,Sociocultural linguistics,Sociolinguistics ","Cognitive ,Functional,Usage-based",3,F,"Community-engaged research,Experimental methods, Field methods",3,N,E,Y,"Linguistics,Education",NA,NA,NA,,Education,Interdisciplinary,N,,"Asia, including the Pacific Islands",Other,No,No,"	Ph.D",Within the past 5 years,No,Postdoctoral scholar,I have in the past worked in a lab-based research group,I currently do fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,"	Yes",No,Often,Sometimes,Often,Sometimes,Sometimes,Never,"		(Dis)ability status",NA,Yes,Yes,No,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
39,1/3/18 15:26,1/3/18 15:34,IP Address,100,6161,TRUE,ALL,1/3/18 19:16,R_1f3Nec12NSDDRog,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,"Atheist,Jewish",N,Y,N,"Yes, in addition to other descriptors","Cognitive science,Discourse analysis,Gesture studies,Phonetics",Usage-based,1,O,"Computational methods,Experimental methods",2,N,E,N,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,No,"	Ph.D",Within the past 5 years,No,You don't. My position is (please specify),I have in the past worked in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,Yes,"	Yes",No,Often,Often,Sometimes,Constantly,Sometimes,Rarely,"Age	,		(Dis)ability status,		Ethnic groups,		Gender,Gender identity/presentation,		Nationality	,		Nonnative English speakers,		Other language groups,Particular subfields/other academics	,Race,		Religion,Sexual orientation		,		Skin color",NA,Yes,No,No,Not sure,Not sure,"		Starting a collaboration		,		Starting a research project",Yes,Fair,Good,Good,I don't know/can't say,5-10 years,gotten better,< 5 years,I don't know/can't say,NA,No,No,NA,Married,"North America, including the Caribbean ","North America, including the Caribbean "
40,1/3/18 15:27,1/3/18 15:38,IP Address,100,519,TRUE,ALL,2/3/18 13:56,R_3R3nqNRj5SzVFxR,anonymous,EN,Other,Asexual,N,Asexual-Umbrella,White,,White,Yes,You don't,"Agnostic,Catholic,Christian",Y,N,N,"Yes, in addition to other descriptors","Computational linguistics,Corpus linguistics,Documentary and descriptive linguistics,	First language acquisition,Interpreting or Translation,	Language contact,	Language evolution,Language variation,	Morphology,	Morphosyntax,Phonetics,Phonology,	Pragmatics,Second language acquisition,Semantics,Sociolinguistics ,Syntax",NR,NR,NR,Experimental methods,1,N,E,N,"Linguistics,Language/Area-specific department (click to receive more options in next question), Computer Science",NA,NA,East Asian languages/studies,East Asian,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,Yes,M.A. / M.S. / M. Ed.,NR,No,Undergraduate student,I currently work in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,Yes,"	Yes",No,Sometimes,Never,Rarely,Rarely,Never,Never,"		Gender",NA,NA,,,"		No",Not sure,NR,No,Very good,Very good,Very good,stayed the same,< 5 years,stayed the same,< 5 years,stayed the same,< 5 years,No,No,NA,"	Single","North America, including the Caribbean ","North America, including the Caribbean "
41,1/3/18 15:29,1/3/18 15:44,IP Address,100,647,TRUE,ALL,1/15/18 11:33,R_2SxbATWnVWBmLNd,anonymous,EN,Male,Gay/Lesbian,N,Monosexual-gay/lesbian,POC,,Asian,No,N/A,Atheist,N,N,N,"Yes, in addition to other descriptors","Cognitive science,Neurolinguistics,	Pragmatics,Psychology of Language,Semantics",Generative,1,G,Experimental methods,1,N,E,N,"Linguistics, Cognitive Science",NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,Yes,"	M.A. / M.S. / M. Ed.",Within the past 5 years,No,Graduate student,I currently work in a lab-based research group,I have in the past done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,"	Yes",Yes,Rarely,Never,Never,Often,Rarely,Rarely,"Age	,		Ethnic groups,		Gender,		Nonnative English speakers,Particular subfields/other academics	,Race,		Skin color",NA,NA,,,Not sure,Not sure,"		Joining a (sub-)discipline	,Social events in your department",No,Bad,Fair,Fair,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NR,No,No,"	No","	Single","North America, including the Caribbean ","North America, including the Caribbean "
42,1/3/18 15:35,1/3/18 15:36,IP Address,100,7581,TRUE,ALL,1/9/18 14:46,R_2zj9j2sbVrI8seb,anonymous,EN,Female,Bisexual,N,Multisexual+Queer,White,,White,No,N/A,Agnostic,Y,N,N,"Yes, solely",Sociolinguistics,Usage-based,1,O,"Community-engaged research,Ethnographic methods,Experimental methods, Site-based research",4,N,E,Y,Other (please specify),NA,English,NA,,Non-Ac,Non-Ac,N,,"North America, including the Caribbean",North America,No,No,"	Ph.D",Within the past 5 years,Yes,"	Associate professor (tenured)",I have in the past worked in a lab-based research group,I currently do fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,Yes,"	Yes",No,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,"Age	,		(Dis)ability status,		Ethnic groups,		Gender,Gender identity/presentation,		Nationality	,		Nonnative English speakers,Particular subfields/other academics	,Race,		Skin color",NA,Yes,No,No,Not sure,Not sure,"Joining a department,		Joining a (sub-)discipline	",Yes,Fair,Good,Good,I don't know/can't say,5-10 years,stayed the same,5-10 years,I don't know/can't say,5-10 years,No,No,"	No",Married,"North America, including the Caribbean ","North America, including the Caribbean "
